2014-11-14T00:00:00;450000;25;389
2014-11-14T01:00:00;450000;25;384
2014-11-14T02:00:00;450000;24;381
2014-11-14T03:00:00;450000;23;383
2014-11-14T04:00:00;450000;23;383
2014-11-14T05:00:00;450000;22;375
2014-11-14T06:00:00;450000;24;370
2014-11-14T07:00:00;450000;27;359
2014-11-14T08:00:00;450000;33;339
2014-11-14T09:00:00;450000;37;322
2014-11-14T10:00:00;450000;39;315
2014-11-14T11:00:00;450000;40;318
2014-11-14T12:00:00;450000;40;330
2014-11-14T13:00:00;450000;39;335
2014-11-14T14:00:00;450000;37;351
2014-11-14T15:00:00;450000;33;367
2014-11-14T16:00:00;450000;31;376
2014-11-14T17:00:00;450000;31;372
2014-11-14T18:00:00;450000;30;375
2014-11-14T19:00:00;450000;30;376
2014-11-14T20:00:00;450000;29;378
2014-11-14T21:00:00;450000;27;378
2014-11-14T22:00:00;450000;26;376
2014-11-14T23:00:00;450000;26;379
2014-11-15T00:00:00;450000;25;389
2014-11-15T01:00:00;450000;25;384
2014-11-15T02:00:00;450000;24;381
2014-11-15T03:00:00;450000;23;383
2014-11-15T04:00:00;450000;23;383
2014-11-15T05:00:00;450000;22;375
2014-11-15T06:00:00;450000;24;370
2014-11-15T07:00:00;450000;27;359
2014-11-15T08:00:00;450000;33;339
2014-11-15T09:00:00;450000;37;322
2014-11-15T10:00:00;450000;39;315
2014-11-15T11:00:00;450000;40;318
2014-11-15T12:00:00;450000;40;330
2014-11-15T13:00:00;450000;39;335
2014-11-15T14:00:00;450000;37;351
2014-11-15T15:00:00;450000;33;367
2014-11-15T16:00:00;450000;31;376
2014-11-15T17:00:00;450000;31;372
2014-11-15T18:00:00;450000;30;375
2014-11-15T19:00:00;450000;30;376
2014-11-15T20:00:00;450000;29;378
2014-11-15T21:00:00;450000;27;378
2014-11-15T22:00:00;450000;26;376
2014-11-15T23:00:00;450000;26;379
2014-11-16T00:00:00;450000;44;372
2014-11-16T01:00:00;450000;44;371
2014-11-16T02:00:00;450000;44;367
2014-11-16T03:00:00;450000;44;373
2014-11-16T04:00:00;450000;43;372
2014-11-16T05:00:00;450000;43;375
2014-11-16T06:00:00;450000;42;356
2014-11-16T07:00:00;450000;45;326
2014-11-16T08:00:00;450000;51;317
2014-11-16T09:00:00;450000;54;314
2014-11-16T10:00:00;450000;57;310
2014-11-16T11:00:00;450000;59;310
2014-11-16T12:00:00;450000;60;321
2014-11-16T13:00:00;450000;60;340
2014-11-16T14:00:00;450000;59;353
2014-11-16T15:00:00;450000;58;377
2014-11-16T16:00:00;450000;55;386
2014-11-16T17:00:00;450000;52;374
2014-11-16T18:00:00;450000;48;385
2014-11-16T19:00:00;450000;45;393
2014-11-16T20:00:00;450000;44;394
2014-11-16T21:00:00;450000;44;395
2014-11-16T22:00:00;450000;44;392
2014-11-16T23:00:00;450000;43;396
2014-11-17T00:00:00;450000;32;390
2014-11-17T01:00:00;450000;31;386
2014-11-17T02:00:00;450000;30;395
2014-11-17T03:00:00;450000;30;395
2014-11-17T04:00:00;450000;30;396
2014-11-17T05:00:00;450000;29;398
2014-11-17T06:00:00;450000;31;381
2014-11-17T07:00:00;450000;35;364
2014-11-17T08:00:00;450000;42;351
2014-11-17T09:00:00;450000;46;346
2014-11-17T10:00:00;450000;49;346
2014-11-17T11:00:00;450000;51;356
2014-11-17T12:00:00;450000;52;350
2014-11-17T13:00:00;450000;52;354
2014-11-17T14:00:00;450000;51;366
2014-11-17T15:00:00;450000;50;382
2014-11-17T16:00:00;450000;47;384
2014-11-17T17:00:00;450000;44;369
2014-11-17T18:00:00;450000;39;359
2014-11-17T19:00:00;450000;36;354
2014-11-17T20:00:00;450000;35;364
2014-11-17T21:00:00;450000;34;377
2014-11-17T22:00:00;450000;33;374
2014-11-17T23:00:00;450000;32;374
